[I] 2016-06-02 18:19:20.348 (0x0000): RuchusMonitorService::loadConfiguration ok 
[I] 2016-06-02 18:19:20.358 (0x0001): fd 4 
[I] 2016-06-02 18:19:20.358 (0x0001): wd 1 
[I] 2016-06-02 18:19:45.511 (0x0001): RuchusLogMonitor::handler  1 
[I] 2016-06-02 18:19:54.803 (0x0001): RuchusLogMonitor::handler  1 
[I] 2016-06-02 18:20:44.490 (0x0001): RuchusLogMonitor::handler  1 
[I] 2016-06-02 18:20:56.900 (0x0001): RuchusLogMonitor::handler  1 
[I] 2016-06-02 18:22:27.704 (0x0001): RuchusLogMonitor::handler  1 
[I] 2016-06-02 18:22:27.705 (0x0001): RuchusLogMonitor::handler  1 
[I] 2016-06-02 18:23:53.435 (0x0001): n 6 
[I] 2016-06-02 18:23:53.435 (0x0000): RuchusMonitorService::uninitialize 
